ID,Energy_Source,Carbon_Footprint,Smart_Home_Device,Electric_Vehicle,Household_Size,Annual_Water_Usage,Renewable_Investment,Satisfaction_Score
1,Nuclear,9.92,Assistant,Yes,4,78.85,Medium,8.91
2,Fossil,10.86,Security,No,6,114.11,Medium,3.8
3,Wind,6.43,Assistant,No,2,112.55,Low,3.61
4,Nuclear,2.01,Lighting,Yes,3,67.24,Low,8.21
5,Nuclear,3.18,Security,No,6,65.66,None,7.32
6,Wind,12.46,Assistant,No,4,103.27,High,7.15
7,Solar,11.03,Assistant,No,7,69.45,Medium,6.04
8,Solar,13.95,Security,No,4,97.78,Low,9.33
9,Nuclear,14.07,None,Yes,3,124.64,Medium,2.65
10,Solar,13.9,Security,No,5,108.35,Low,1.07
11,Fossil,4.05,Security,No,4,62.72,High,7.92
12,Nuclear,13.83,Assistant,No,5,74.14,High,9.11
13,Hydro,11.44,None,No,4,127.64,High,2.31
14,Hydro,7.72,None,Yes,7,88.35,Low,5.23
15,Wind,9.9,Assistant,No,6,101.43,Medium,3.52
16,Wind,11.29,Thermostat,No,3,73.92,Low,5.39
17,Hydro,9.3,Assistant,No,7,96.19,Medium,6.54
18,Hydro,12.33,Assistant,No,6,114.72,None,8.45
19,Hydro,8.77,Security,No,3,101.78,None,1.88
20,Nuclear,4.73,Security,Yes,3,92.41,None,4.45
21,Nuclear,9.23,Thermostat,No,5,42.85,None,2.58
22,Wind,2.51,Lighting,Yes,1,99.21,High,3.75
23,Wind,12.52,None,No,5,83.63,High,3.32
24,Nuclear,10.77,Thermostat,Yes,7,98.94,None,4.39
25,Hydro,7.33,Thermostat,No,7,145.8,Low,5.81
26,Wind,8.27,None,Yes,1,96.94,Medium,4.39
27,Solar,10.75,None,Yes,4,122.46,High,9.67
28,Hydro,13.74,Lighting,Yes,7,54.44,High,5.26
29,Solar,9.58,Security,Yes,7,69.51,None,8.57
30,Fossil,8.51,Assistant,Yes,5,118.7,High,6.28
31,Fossil,2.47,Lighting,Yes,1,113.93,Low,6.44
32,Nuclear,8.88,Assistant,Yes,7,73.02,None,5.4
33,Wind,10.65,Lighting,Yes,5,112.57,Low,2.36
34,Solar,11.74,Assistant,No,2,93.86,Low,5.99
35,Fossil,9.25,Security,No,2,100.76,None,2.31
36,Nuclear,13.23,Thermostat,Yes,6,138.69,High,5.67
37,Solar,10.22,Lighting,Yes,5,118.93,None,6.26
38,Hydro,13.19,Lighting,Yes,2,110.34,Medium,1.6
39,Fossil,7.18,None,No,7,83.23,Low,7.19
40,Fossil,13.45,Lighting,No,5,92.33,Medium,7.96
41,Wind,20.12,Thermostat,No,1,70.31,High,3.55
42,Wind,4.51,Thermostat,No,5,84.18,Low,4.04
43,Hydro,9.21,Lighting,Yes,5,108.93,High,5.52
44,Hydro,15.48,Lighting,Yes,4,102.54,Low,9.18
45,Wind,13.18,Lighting,No,2,144.08,None,2.62
46,Solar,18.12,Assistant,No,3,60.8,Low,5.23
47,Wind,3.73,None,No,6,79.03,None,9.25
48,Hydro,0.63,Lighting,No,3,110.32,High,5.9
49,Hydro,11.1,Assistant,Yes,1,91.84,None,6.38
50,Wind,2.94,Security,Yes,4,82.91,Medium,8.56
51,Hydro,8.4,None,No,4,100.52,High,9.42
52,Fossil,12.62,Thermostat,Yes,6,132.95,High,8.62
53,Solar,2.63,Security,Yes,3,103.57,None,2.73
54,Wind,5.53,Assistant,No,4,129.4,High,6.14
55,Fossil,3.07,Assistant,No,2,156.64,Low,2.51
56,Hydro,10.67,Thermostat,Yes,1,126.02,Low,4.16
57,Fossil,4.89,None,No,5,72.52,Medium,3.43
58,Wind,14.77,None,No,7,112.11,Medium,1.78
59,Wind,7.94,Assistant,Yes,1,100.11,None,3.74
60,Solar,8.69,None,No,2,29.65,None,2.18
61,Nuclear,-0.2,Thermostat,No,3,67.89,None,8.46
62,Fossil,9.83,Assistant,Yes,3,49.45,Medium,4.18
63,Solar,9.83,Assistant,Yes,7,117.01,Medium,9.28
64,Hydro,14.58,Lighting,No,6,99.23,Medium,8.32
65,Fossil,6.05,Security,No,3,101.08,Medium,7.15
66,Fossil,16.13,None,Yes,4,98.25,Low,8.82
67,Fossil,15.88,Security,Yes,7,132.67,Low,4.85
68,Solar,7.86,Thermostat,Yes,5,115.0,Low,8.95
69,Fossil,12.58,Security,No,4,115.66,None,4.42
70,Fossil,2.83,Lighting,No,6,114.73,Low,2.52
71,Solar,5.74,None,Yes,5,86.05,Medium,3.38
72,Solar,12.42,None,No,3,137.84,Low,3.71
73,Solar,12.81,Lighting,No,4,111.73,High,9.35
74,Wind,16.16,Assistant,Yes,3,161.32,None,9.13
75,Solar,17.4,Security,No,4,170.87,Medium,4.85
